date,atl_2018,atl_2019,atl_avg,atl_2020,atl_covid,chi_2018,chi_2019,chi_avg,chi_2020,chi_covid,la_2018,la_2019,la_avg,la_2020,la_covid
3/1,54,56,55,61,2,820,740,780,647,3,764,809,786.5,547,1
3/2,60,55,57.5,57,2,692,661,676.5,585,4,577,549,563,572,1
3/3,71,42,56.5,63,2,664,551,607.5,605,4,614,650,632,521,1
3/4,50,43,46.5,54,2,648,543,595.5,613,4,540,576,558,492,7
3/5,60,47,53.5,47,2,664,539,601.5,567,5,640,586,613,517,11
3/6,55,37,46,43,4,652,626,639,683,6,606,570,588,540,13
3/7,68,41,54.5,61,5,656,605,630.5,574,6,606,581,593.5,484,14
3/8,59,59,59,53,5,660,712,686,627,7,573,617,595,519,14
3/9,57,54,55.5,65,6,743,616,679.5,554,11,647,560,603.5,491,19
3/10,61,48,54.5,62,6,683,610,646.5,537,17,586,511,548.5,493,20
3/11,51,44,47.5,42,6,618,698,658,570,22,549,602,575.5,530,28
3/12,75,46,60.5,49,6,661,625,643,603,27,649,548,598.5,443,32
3/13,78,54,66,67,13,638,688,663,640,40,621,563,592,469,40
3/14,46,43,44.5,62,20,664,674,669,590,51,605,613,609,479,53
3/15,67,55,61,59,27,691,735,713,537,76,603,618,610.5,476,69
3/16,41,51,46,61,33,702,765,733.5,492,76,597,595,596,446,94
3/17,64,42,53,45,49,777,610,693.5,538,107,550,560,555,399,144
3/18,53,51,52,36,68,687,650,668.5,498,179,629,607,618,368,190
3/19,58,40,49,30,95,659,637,648,438,279,554,589,571.5,344,231
3/20,39,52,45.5,38,100,711,689,700,452,412,615,630,622.5,328,292
3/21,48,49,48.5,46,111,688,688,688,411,548,606,639,622.5,339,351
3/22,72,63,67.5,36,152,670,706,688,,805,588,672,630,273,421
3/23,64,68,66,47,191,752,690,721,,922,636,620,628,121,536
3/24,65,54,59.5,42,204,648,648,648,,1194,620,566,593,,662
3/25,46,45,45.5,33,231,676,638,657,,1418,626,566,596,,799
3/26,68,57,62.5,2,347,695,672,683.5,,1904,611,544,577.5,,1216
3/27,49,67,58,,378,673,694,683.5,,2239,616,640,628,,1465
3/28,59,61,60,,,689,682,685.5,,2613,603,599,601,,1804
3/29,84,66,75,,,629,673,651,,,673,626,649.5,,
3/30,66,64,65,,,704,664,684,,,629,661,645,,
3/31,77,57,67,,,691,634,662.5,,,622,615,618.5,,
4/1,61,67,64,,,722,771,746.5,,,816,825,820.5,,
4/2,49,59,54,,,674,654,664,,,637,548,592.5,,
4/3,73,74,73.5,,,605,681,643,,,664,579,621.5,,
4/4,64,61,62.5,,,697,660,678.5,,,579,585,582,,
