date,la_avg,la_2020,la_covid
1-Mar,786.5,547,1
2-Mar,563,572,1
3-Mar,632,521,1
4-Mar,558,492,7
5-Mar,613,517,11
6-Mar,588,540,13
7-Mar,593.5,484,14
8-Mar,595,519,14
9-Mar,603.5,491,19
10-Mar,548.5,493,20
11-Mar,575.5,530,28
12-Mar,598.5,443,32
13-Mar,592,469,40
14-Mar,609,479,53
15-Mar,610.5,476,69
16-Mar,596,446,94
17-Mar,555,399,144
18-Mar,618,368,190
19-Mar,571.5,344,231
20-Mar,622.5,328,292
21-Mar,622.5,339,351
22-Mar,630,273,421
23-Mar,628,121,536
24-Mar,593,,662
25-Mar,596,,799
26-Mar,577.5,,1216
27-Mar,628,,1465
28-Mar,601,,1804
29-Mar,649.5,,
30-Mar,645,,
31-Mar,618.5,,
1-Apr,820.5,,
2-Apr,592.5,,
3-Apr,621.5,,
4-Apr,582,,
